"customer_id","store_id","first_name","last_name","email","address_id","activebool","create_date","last_update","active"
578,2,"Willard","Lumpkin","willard.lumpkin@sakilacustomer.org",584,True,"2006-02-14","2013-05-26 14:49:45.738",1
115,1,"Wendy","Harrison","wendy.harrison@sakilacustomer.org",119,True,"2006-02-14","2013-05-26 14:49:45.738",1
87,1,"Wanda","Patterson","wanda.patterson@sakilacustomer.org",91,True,"2006-02-14","2013-05-26 14:49:45.738",1
339,2,"Walter","Perryman","walter.perryman@sakilacustomer.org",344,True,"2006-02-14","2013-05-26 14:49:45.738",1
35,2,"Virginia","Green","virginia.green@sakilacustomer.org",39,True,"2006-02-14","2013-05-26 14:49:45.738",1
244,2,"Viola","Hanson","viola.hanson@sakilacustomer.org",248,True,"2006-02-14","2013-05-26 14:49:45.738",1
414,1,"Vincent","Ralston","vincent.ralston@sakilacustomer.org",419,True,"2006-02-14","2013-05-26 14:49:45.738",1
116,1,"Victoria","Gibson","victoria.gibson@sakilacustomer.org",120,True,"2006-02-14","2013-05-26 14:49:45.738",1
496,2,"Tyler","Wren","tyler.wren@sakilacustomer.org",501,True,"2006-02-14","2013-05-26 14:49:45.738",1
589,1,"Tracy","Herrmann","tracy.herrmann@sakilacustomer.org",595,True,"2006-02-14","2013-05-26 14:49:45.738",1
209,2,"Tonya","Chapman","tonya.chapman@sakilacustomer.org",213,True,"2006-02-14","2013-05-26 14:49:45.738",1
386,1,"Todd","Tan","todd.tan@sakilacustomer.org",391,True,"2006-02-14","2013-05-26 14:49:45.738",1
325,1,"Timothy","Bunn","timothy.bunn@sakilacustomer.org",330,True,"2006-02-14","2013-05-26 14:49:45.738",1
110,2,"Tiffany","Jordan","tiffany.jordan@sakilacustomer.org",114,True,"2006-02-14","2013-05-26 14:49:45.738",1
72,2,"Theresa","Watson","theresa.watson@sakilacustomer.org",76,True,"2006-02-14","2013-05-26 14:49:45.738",1
253,1,"Terry","Carlson","terry.carlson@sakilacustomer.org",258,True,"2006-02-14","2013-05-26 14:49:45.738",1
595,1,"Terrence","Gunderson","terrence.gunderson@sakilacustomer.org",601,True,"2006-02-14","2013-05-26 14:49:45.738",1
203,1,"Tara","Ryan","tara.ryan@sakilacustomer.org",207,True,"2006-02-14","2013-05-26 14:49:45.738",1
229,1,"Tamara","Nguyen","tamara.nguyen@sakilacustomer.org",233,True,"2006-02-14","2013-05-26 14:49:45.738",1
8,2,"Susan","Wilson","susan.wilson@sakilacustomer.org",12,True,"2006-02-14","2013-05-26 14:49:45.738",1
572,1,"Sidney","Burleson","sidney.burleson@sakilacustomer.org",578,True,"2006-02-14","2013-05-26 14:49:45.738",1
27,2,"Shirley","Allen","shirley.allen@sakilacustomer.org",31,True,"2006-02-14","2013-05-26 14:49:45.738",1
390,1,"Shawn","Heaton","shawn.heaton@sakilacustomer.org",395,True,"2006-02-14","2013-05-26 14:49:45.738",1
20,2,"Sharon","Robinson","sharon.robinson@sakilacustomer.org",24,True,"2006-02-14","2013-05-26 14:49:45.738",1
123,2,"Shannon","Freeman","shannon.freeman@sakilacustomer.org",127,True,"2006-02-14","2013-05-26 14:49:45.738",1
590,2,"Seth","Hannon","seth.hannon@sakilacustomer.org",596,True,"2006-02-14","2013-05-26 14:49:45.738",1
16,2,"Sandra","Martin","sandra.martin@sakilacustomer.org",20,True,"2006-02-14","2013-05-26 14:49:45.738",0
177,2,"Samantha","Duncan","samantha.duncan@sakilacustomer.org",181,True,"2006-02-14","2013-05-26 14:49:45.738",1
380,1,"Russell","Brinson","russell.brinson@sakilacustomer.org",385,True,"2006-02-14","2013-05-26 14:49:45.738",1
90,2,"Ruby","Washington","ruby.washington@sakilacustomer.org",94,True,"2006-02-14","2013-05-26 14:49:45.738",1
301,2,"Robert","Baughman","robert.baughman@sakilacustomer.org",306,True,"2006-02-14","2013-05-26 14:49:45.738",1
437,2,"Randall","Neumann","randall.neumann@sakilacustomer.org",442,True,"2006-02-14","2013-05-26 14:49:45.738",1
262,2,"Patsy","Davidson","patsy.davidson@sakilacustomer.org",267,True,"2006-02-14","2013-05-26 14:49:45.738",1
2,1,"Patricia","Johnson","patricia.johnson@sakilacustomer.org",6,True,"2006-02-14","2013-05-26 14:49:45.738",1
68,1,"Nicole","Peterson","nicole.peterson@sakilacustomer.org",72,True,"2006-02-14","2013-05-26 14:49:45.738",1
549,1,"Nelson","Christenson","nelson.christenson@sakilacustomer.org",555,True,"2006-02-14","2013-05-26 14:49:45.738",1
406,1,"Nathan","Runyon","nathan.runyon@sakilacustomer.org",411,True,"2006-02-14","2013-05-26 14:49:45.738",0
445,1,"Micheal","Forman","micheal.forman@sakilacustomer.org",450,True,"2006-02-14","2013-05-26 14:49:45.738",1
302,1,"Michael","Silverman","michael.silverman@sakilacustomer.org",307,True,"2006-02-14","2013-05-26 14:49:45.738",1
422,1,"Melvin","Ellington","melvin.ellington@sakilacustomer.org",427,True,"2006-02-14","2013-05-26 14:49:45.738",1
252,2,"Mattie","Hoffman","mattie.hoffman@sakilacustomer.org",256,True,"2006-02-14","2013-05-26 14:49:45.738",1
323,2,"Matthew","Mahan","matthew.mahan@sakilacustomer.org",328,True,"2006-02-14","2013-05-26 14:49:45.738",1
539,1,"Mathew","Bolin","mathew.bolin@sakilacustomer.org",545,True,"2006-02-14","2013-05-26 14:49:45.738",1
583,1,"Marshall","Thorn","marshall.thorn@sakilacustomer.org",589,True,"2006-02-14","2013-05-26 14:49:45.738",1
236,1,"Marcia","Dean","marcia.dean@sakilacustomer.org",240,True,"2006-02-14","2013-05-26 14:49:45.738",1
11,2,"Lisa","Anderson","lisa.anderson@sakilacustomer.org",15,True,"2006-02-14","2013-05-26 14:49:45.738",1
98,1,"Lillian","Griffin","lillian.griffin@sakilacustomer.org",102,True,"2006-02-14","2013-05-26 14:49:45.738",1
478,1,"Lewis","Lyman","lewis.lyman@sakilacustomer.org",483,True,"2006-02-14","2013-05-26 14:49:45.738",1
143,1,"Leslie","Gordon","leslie.gordon@sakilacustomer.org",147,True,"2006-02-14","2013-05-26 14:49:45.738",1
281,2,"Leona","Obrien","leona.obrien@sakilacustomer.org",286,True,"2006-02-14","2013-05-26 14:49:45.738",1
259,2,"Lena","Jensen","lena.jensen@sakilacustomer.org",264,True,"2006-02-14","2013-05-26 14:49:45.738",1
361,2,"Lawrence","Lawton","lawrence.lawton@sakilacustomer.org",366,True,"2006-02-14","2013-05-26 14:49:45.738",1
162,2,"Lauren","Hudson","lauren.hudson@sakilacustomer.org",166,True,"2006-02-14","2013-05-26 14:49:45.738",1
543,1,"Lance","Pemberton","lance.pemberton@sakilacustomer.org",549,True,"2006-02-14","2013-05-26 14:49:45.738",1
214,1,"Kristin","Johnston","kristin.johnston@sakilacustomer.org",218,True,"2006-02-14","2013-05-26 14:49:45.738",1
315,2,"Kenneth","Gooden","kenneth.gooden@sakilacustomer.org",320,True,"2006-02-14","2013-05-26 14:49:45.738",0
82,1,"Kathryn","Coleman","kathryn.coleman@sakilacustomer.org",86,True,"2006-02-14","2013-05-26 14:49:45.738",1
